,ISBN,result
0,3596169658,"(['  Paperback  \n $8.30  \n\n\n   \n     2 Used from $8.30         1 New from $37.51      '], '3596169658')"
1,1417784849,"([""  Kindle & Comixology  \n $6.49  \n   \n Read on any device      Kindle & Comixology      Buy now and you can also read this title for free on the Comixology app, Amazon's premier digital comic reading experience.   Learn More     "", '  Paperback  \n $9.99  \n\n\n   \n     9 Used from $4.58         12 New from $7.99         1 Collectible from $23.81      '], '1417784849')"
2,0743284674,"([], '0743284674')"
3,0399149147,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $1.65  \n\n\n   \n     18 Used from $1.65      ', '  Paperback  \n $18.06  \n\n\n   \n     9 Used from $3.04         8 New from $15.49      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     155 Used from $0.99         17 New from $4.04         3 Collectible from $7.99      ', '  Audio CD  \n $19.99  \n\n\n   \n     20 Used from $0.10         15 New from $12.90         1 Collectible from $11.99      '], '0399149147')"
4,0891341137,"(['  Kindle  \n $15.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n    \n                             from $25.00                \n\n\n   \n     9 Used from $25.00         2 Collectible from $50.00      ', '  Paperback  \n $22.99  \n\n\n   \n     46 Used from $9.99         18 New from $16.29         2 Collectible from $45.00      '], '0891341137')"
5,0859974669,"(['  Kindle  \n $0.39  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $4.95  \n\n\n   \n     1 Used from $4.95      ', '  Paperback  \n $3.99  \n\n\n   \n     78 Used from $0.99         25 New from $3.95      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     69 Used from $0.99         8 New from $4.99         2 Collectible from $6.01      ', '  MP3 CD  \n    \n                             from $7.60                \n\n\n   \n     1 New from $7.60      ', '  Pocket Book  \n    \n                        \n    —\n             \n\n\n   \n  '], '0859974669')"
6,0671017411,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.18  \n\n\n   \n     145 Used from $1.08         13 New from $4.91         4 Collectible from $6.25      ', '  Perfect Paperback  \n $13.93  \n\n\n   \n     4 Used from $5.97      ', '  Mass Market Paperback  \n $9.99  \n\n\n   \n     115 Used from $1.40         8 New from $7.09         1 Collectible from $6.99      ', '  Audio CD  \n $14.99  \n\n\n   \n     4 New from $11.26      ', '  Wall Chart  \n    \n                             from $29.82                \n\n\n   \n     1 Used from $29.82      '], '0671017411')"
7,0449147770,"(['  Kindle  \n $5.97  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.80  \n\n\n   \n     5 Used from $1.96      ', '  Paperback  \n $8.99  \n\n\n   \n     1 Used from $9.01         1 New from $8.99      ', '  Mass Market Paperback  \n $42.80  \n\n\n   \n     2 Used from $37.44         2 New from $42.80      ', '  MP3 CD  \n $9.99  \n\n\n   \n     3 New from $8.76      '], '0449147770')"
8,0140052771,"(['  Hardcover  \n $74.99  \n\n\n   \n     4 Used from $74.99      ', '  Paperback  \n $12.35  \n\n\n   \n     12 Used from $4.98         1 Collectible from $24.95      '], '0140052771')"
9,0865714827,"(['  Kindle  \n $11.87  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Library Binding  \n $9.00  \n\n\n   \n     1 Used from $9.00      ', '  Paperback  \n $4.95  \n\n\n   \n     27 Used from $1.95         4 New from $8.00      '], '0865714827')"
